162.bmp 649.bmp 611.bmp 
106.bmp 7.65544e+07 8.84513e+08 9.77415e+07
107.bmp 4.0655e+08 5.57014e+08 2.88669e+08
108.bmp 5.79205e+08 5.2844e+08 4.33982e+08
109.bmp 4.33207e+08 5.89807e+08 3.23445e+08
110.bmp 3.1784e+08 6.54481e+08 2.39145e+08
111.bmp 7.34647e+08 5.3989e+08 5.69744e+08
112.bmp 5.21611e+08 5.28876e+08 3.83957e+08
113.bmp 5.59063e+08 5.67561e+08 4.17053e+08
114.bmp 3.04049e+08 5.95259e+08 2.18322e+08
115.bmp 5.65729e+08 5.41802e+08 4.14338e+08
116.bmp 3.56276e+08 6.04687e+08 2.55827e+08
117.bmp 7.56637e+08 5.1735e+08 5.93047e+08
118.bmp 5.06498e+08 5.45349e+08 3.89808e+08
119.bmp 6.84152e+08 4.55789e+08 5.20533e+08
120.bmp 6.33725e+08 5.69989e+08 4.74739e+08
121.bmp 4.09545e+08 5.55486e+08 2.94009e+08
122.bmp 6.24689e+08 5.24822e+08 4.64649e+08
123.bmp 6.30363e+08 5.72694e+08 4.76564e+08
124.bmp 4.2635e+08 5.38906e+08 3.12955e+08
125.bmp 6.56015e+08 5.39385e+08 4.95682e+08
126.bmp 6.2492e+08 5.55012e+08 4.76349e+08
127.bmp 5.56863e+08 4.93664e+08 4.06052e+08
128.bmp 6.78135e+08 4.83898e+08 5.16743e+08
129.bmp 5.18423e+08 5.04239e+08 3.92435e+08
130.bmp 7.39032e+08 5.19757e+08 5.5506e+08
131.bmp 7.24465e+08 5.51242e+08 5.23994e+08
132.bmp 2.99842e+08 6.68878e+08 2.40244e+08
133.bmp 6.80738e+08 5.98646e+08 5.2226e+08
134.bmp 6.62772e+07 9.17737e+08 9.70445e+07
135.bmp 7.47514e+08 4.58825e+08 5.53656e+08
136.bmp 6.28079e+08 6.93929e+08 5.32324e+08
137.bmp 7.45349e+08 5.62874e+08 5.51698e+08
138.bmp 5.30243e+08 5.5089e+08 3.95135e+08
139.bmp 8.68477e+08 5.4121e+08 7.04563e+08
140.bmp 4.59432e+08 5.36505e+08 3.39495e+08
141.bmp 2.03997e+07 1.07211e+09 8.82153e+07
142.bmp 5.08139e+08 5.26472e+08 3.70899e+08
143.bmp 4.6046e+08 6.07081e+08 3.52036e+08
144.bmp 2.39742e+08 6.91787e+08 1.8246e+08
145.bmp 5.19298e+08 5.56885e+08 3.80574e+08
146.bmp 4.41549e+08 5.91028e+08 3.39298e+08
147.bmp 5.60254e+08 5.51794e+08 4.18894e+08
148.bmp 1.52838e+08 7.62902e+08 1.29667e+08
149.bmp 3.03518e+08 6.20106e+08 2.25051e+08
150.bmp 2.96568e+08 6.47774e+08 2.15001e+08
151.bmp 4.32353e+08 5.69545e+08 3.11953e+08
152.bmp 3.61331e+08 6.21375e+08 2.71493e+08
153.bmp 3.11748e+08 5.94686e+08 2.38705e+08
154.bmp 5.4285e+07 9.80325e+08 9.55019e+07
155.bmp 6.92987e+08 5.46959e+08 5.16637e+08
156.bmp 6.13941e+08 5.41765e+08 4.41563e+08
157.bmp 5.23692e+08 5.20519e+08 3.79471e+08
158.bmp 4.15823e+08 5.85547e+08 3.11962e+08
159.bmp 5.4114e+08 5.35476e+08 4.02158e+08
160.bmp 2.78852e+08 6.40378e+08 2.05652e+08
161.bmp 6.69198e+08 5.14764e+08 4.95198e+08
162.bmp 0 1.30782e+09 1.203e+08
163.bmp 5.05345e+08 5.16432e+08 3.72877e+08
164.bmp 3.81469e+08 6.09244e+08 2.94158e+08
165.bmp 1.36759e+08 8.18595e+08 1.29291e+08
166.bmp 4.80373e+08 5.28756e+08 3.50874e+08
167.bmp 3.1291e+08 6.21919e+08 2.38942e+08
168.bmp 7.26834e+08 4.69519e+08 5.09791e+08
169.bmp 3.13386e+08 6.2417e+08 2.32037e+08
170.bmp 5.46917e+08 5.41821e+08 4.02953e+08
171.bmp 5.8697e+08 5.3303e+08 4.45232e+08
172.bmp 3.13072e+08 6.29784e+08 2.3567e+08
173.bmp 6.97059e+08 5.18174e+08 5.18712e+08
174.bmp 7.27118e+08 4.90167e+08 5.27345e+08
175.bmp 6.53736e+08 5.34336e+08 4.75669e+08
176.bmp 7.39766e+08 5.85158e+08 5.62672e+08
177.bmp 4.45602e+08 5.50253e+08 3.2314e+08
178.bmp 5.10021e+08 5.54468e+08 3.65717e+08
179.bmp 5.02999e+08 5.19322e+08 3.69133e+08
180.bmp 5.3111e+07 9.52213e+08 9.21858e+07
181.bmp 6.99344e+08 5.52634e+08 5.14566e+08
182.bmp 4.04696e+08 5.42288e+08 2.99989e+08
183.bmp 6.58175e+08 5.50391e+08 5.09611e+08
184.bmp 1.10148e+08 8.02487e+08 9.9791e+07
185.bmp 6.35912e+08 5.17893e+08 4.67943e+08
186.bmp 5.91912e+08 5.25635e+08 4.53329e+08
187.bmp 7.01761e+08 4.85192e+08 5.23545e+08
188.bmp 4.71954e+08 5.27938e+08 3.40406e+08
189.bmp 4.37017e+08 6.85346e+08 3.68249e+08
190.bmp 7.71584e+08 5.56111e+08 5.70475e+08
191.bmp 6.56241e+08 4.18072e+08 4.67238e+08
192.bmp 6.20964e+08 5.20057e+08 4.56183e+08
193.bmp 2.73088e+08 6.37227e+08 2.05033e+08
194.bmp 5.37824e+07 9.41997e+08 7.22811e+07
195.bmp 5.00081e+08 5.16995e+08 3.62001e+08
196.bmp 5.16141e+08 6.01472e+08 3.92024e+08
197.bmp 4.4139e+08 5.79045e+08 3.16981e+08
198.bmp 4.62604e+08 5.94652e+08 3.43139e+08
199.bmp 7.00621e+08 5.36861e+08 5.0684e+08
200.bmp 5.78172e+08 5.1236e+08 4.21444e+08
