162.bmp 649.bmp 611.bmp 
464.bmp 4.60839e+08 5.64419e+08 3.42235e+08
465.bmp 5.92861e+08 5.65202e+08 4.38745e+08
466.bmp 6.61055e+08 5.74703e+08 5.07691e+08
467.bmp 6.49467e+08 5.65145e+08 4.85569e+08
468.bmp 7.89204e+08 7.03025e+08 6.30694e+08
469.bmp 6.79028e+08 5.51387e+08 5.05173e+08
470.bmp 8.35718e+08 6.83855e+08 6.61562e+08
471.bmp 4.22228e+08 5.63235e+08 3.11184e+08
472.bmp 3.96355e+08 5.81842e+08 3.00165e+08
473.bmp 5.5812e+08 5.57674e+08 4.13709e+08
474.bmp 5.38525e+08 5.38308e+08 3.95351e+08
475.bmp 3.71273e+08 6.16076e+08 2.85363e+08
476.bmp 6.69629e+08 4.74637e+08 4.85938e+08
477.bmp 7.20854e+08 5.98822e+08 5.53709e+08
478.bmp 4.67244e+08 5.72365e+08 3.44701e+08
479.bmp 4.1018e+08 6.08119e+08 3.0845e+08
480.bmp 5.6314e+08 5.44723e+08 4.098e+08
481.bmp 4.95445e+08 5.89821e+08 3.7609e+08
482.bmp 7.47861e+08 5.8415e+08 5.63395e+08
483.bmp 8.23046e+08 6.81919e+08 6.54283e+08
484.bmp 7.3074e+08 6.01053e+08 5.60819e+08
485.bmp 5.188e+08 5.06391e+08 3.85248e+08
486.bmp 5.16297e+08 5.53487e+08 3.84962e+08
487.bmp 5.70455e+08 5.46544e+08 4.20866e+08
488.bmp 6.44744e+08 5.00615e+08 4.73698e+08
489.bmp 7.51423e+08 5.92871e+08 5.67595e+08
490.bmp 6.38964e+08 5.59265e+08 4.72821e+08
491.bmp 7.17859e+08 5.80076e+08 5.40959e+08
492.bmp 7.71694e+08 6.25095e+08 6.0141e+08
493.bmp 5.00536e+08 5.34222e+08 3.65676e+08
494.bmp 6.97115e+08 5.80021e+08 5.27227e+08
495.bmp 4.62244e+08 5.67284e+08 3.46118e+08
496.bmp 6.35482e+08 5.78426e+08 4.79188e+08
497.bmp 5.59579e+08 5.60004e+08 4.18392e+08
498.bmp 7.70376e+08 6.24856e+08 5.9819e+08
499.bmp 5.91779e+08 5.14653e+08 4.49498e+08
500.bmp 7.6081e+08 5.62343e+08 5.71355e+08
501.bmp 4.78945e+08 6.12399e+08 3.60174e+08
502.bmp 6.18654e+08 5.55355e+08 4.72154e+08
503.bmp 6.85272e+08 5.55315e+08 5.13138e+08
504.bmp 5.24947e+08 5.69341e+08 3.9819e+08
505.bmp 6.28176e+08 5.5474e+08 4.64299e+08
506.bmp 5.34385e+08 5.88717e+08 4.04687e+08
507.bmp 6.7808e+08 5.4713e+08 4.98829e+08
508.bmp 7.22158e+08 5.57522e+08 5.40439e+08
509.bmp 5.31258e+08 5.787e+08 3.98644e+08
510.bmp 7.72606e+08 6.26878e+08 6.0092e+08
511.bmp 7.77516e+08 6.30183e+08 6.07112e+08
512.bmp 7.25875e+08 5.86247e+08 5.51473e+08
513.bmp 7.63126e+08 6.21674e+08 5.90616e+08
514.bmp 7.6115e+08 6.09522e+08 5.86575e+08
515.bmp 5.56986e+08 5.62627e+08 4.17315e+08
516.bmp 7.29692e+08 5.72051e+08 5.52683e+08
517.bmp 6.13105e+08 5.65714e+08 4.60047e+08
518.bmp 5.71058e+08 5.62507e+08 4.27375e+08
519.bmp 5.19642e+08 5.82247e+08 3.9013e+08
520.bmp 7.3582e+08 5.616e+08 5.43703e+08
521.bmp 7.42518e+08 5.93043e+08 5.66286e+08
522.bmp 4.39677e+08 5.46927e+08 3.22383e+08
523.bmp 7.95512e+08 6.45815e+08 6.22634e+08
524.bmp 5.91876e+08 5.65183e+08 4.42412e+08
525.bmp 5.73963e+08 5.85832e+08 4.40583e+08
526.bmp 7.13575e+08 5.55836e+08 5.38191e+08
527.bmp 7.63392e+08 5.94261e+08 5.78307e+08
528.bmp 7.32989e+08 5.91267e+08 5.60241e+08
529.bmp 7.62253e+08 6.16284e+08 5.87438e+08
530.bmp 7.23288e+08 5.70503e+08 5.3692e+08
531.bmp 5.81581e+08 5.73425e+08 4.29101e+08
532.bmp 7.70196e+08 6.20848e+08 5.99223e+08
533.bmp 5.1892e+08 5.64779e+08 3.90671e+08
534.bmp 7.72776e+08 6.27204e+08 6.02855e+08
535.bmp 6.74292e+08 5.48947e+08 4.99403e+08
536.bmp 4.88851e+08 5.63091e+08 3.61125e+08
537.bmp 5.77416e+08 5.35795e+08 4.20639e+08
538.bmp 6.4882e+08 6.09431e+08 4.93854e+08
539.bmp 7.666e+08 6.18e+08 5.94348e+08
540.bmp 8.37822e+08 7.20504e+08 6.75415e+08
541.bmp 3.0873e+08 6.72037e+08 2.4533e+08
542.bmp 7.26537e+08 6.1502e+08 5.63638e+08
543.bmp 4.47657e+08 5.70939e+08 3.29542e+08
544.bmp 4.12765e+08 6.0416e+08 3.11345e+08
545.bmp 6.31497e+08 5.21609e+08 4.56446e+08
546.bmp 4.28992e+08 5.84949e+08 3.20232e+08
547.bmp 4.50615e+08 5.75334e+08 3.32154e+08
548.bmp 5.87266e+08 5.44772e+08 4.33113e+08
549.bmp 7.43603e+08 5.93493e+08 5.68577e+08
550.bmp 1.62602e+08 7.90572e+08 1.45576e+08
551.bmp 5.75757e+08 5.43358e+08 4.21845e+08
552.bmp 7.48018e+08 6.16915e+08 5.80892e+08
553.bmp 7.66524e+08 6.12599e+08 5.92626e+08
554.bmp 4.55684e+08 5.81618e+08 3.44204e+08
555.bmp 7.00633e+08 5.86177e+08 5.343e+08
556.bmp 6.88242e+08 5.57317e+08 5.15906e+08
557.bmp 6.95939e+08 5.28948e+08 5.19131e+08
558.bmp 6.58107e+08 6.18643e+08 5.10996e+08
559.bmp 5.19934e+08 5.69269e+08 3.86445e+08
560.bmp 7.91753e+08 6.46963e+08 6.22731e+08
561.bmp 7.87313e+08 6.30109e+08 6.10366e+08
562.bmp 3.41727e+08 6.20576e+08 2.74748e+08
563.bmp 6.5182e+08 5.46402e+08 4.85787e+08
564.bmp 7.61312e+08 6.15614e+08 5.90176e+08
565.bmp 7.0946e+08 6.21673e+08 5.52511e+08
566.bmp 6.84731e+08 5.69355e+08 5.16133e+08
567.bmp 7.9119e+08 6.44677e+08 6.20983e+08
568.bmp 7.2883e+08 6.09849e+08 5.64443e+08
569.bmp 7.4077e+08 5.84656e+08 5.58858e+08
570.bmp 7.64391e+08 5.39932e+08 5.64173e+08
571.bmp 4.12458e+08 5.70124e+08 3.01973e+08
572.bmp 4.8785e+08 5.16499e+08 3.63213e+08
573.bmp 6.50619e+08 6.14951e+08 5.04636e+08
574.bmp 4.3101e+08 5.84861e+08 3.24726e+08
575.bmp 7.43506e+08 5.76516e+08 5.64901e+08
576.bmp 7.85248e+08 6.41239e+08 6.15673e+08
577.bmp 6.60504e+08 5.50201e+08 5.02173e+08
578.bmp 7.82511e+08 6.37464e+08 6.12595e+08
579.bmp 4.1738e+08 6.34609e+08 3.20661e+08
580.bmp 4.00063e+08 8.30967e+08 3.83288e+08
581.bmp 7.80995e+08 6.32713e+08 6.08106e+08
582.bmp 7.22195e+08 5.49404e+08 5.3384e+08
583.bmp 6.99316e+08 5.70263e+08 5.31373e+08
584.bmp 5.84415e+08 5.64735e+08 4.36412e+08
585.bmp 6.01396e+08 5.17167e+08 4.44056e+08
586.bmp 6.81279e+08 5.65053e+08 5.0731e+08
587.bmp 7.52623e+08 5.8126e+08 5.67937e+08
588.bmp 7.83371e+08 6.37948e+08 6.12987e+08
589.bmp 4.02e+08 6.37995e+08 3.15918e+08
590.bmp 3.90754e+08 6.44187e+08 3.04528e+08
591.bmp 7.63612e+08 6.28001e+08 5.94763e+08
592.bmp 7.97829e+08 6.34366e+08 6.19631e+08
593.bmp 6.67832e+08 6.01453e+08 5.12915e+08
594.bmp 7.36791e+08 6.01885e+08 5.65298e+08
595.bmp 5.85317e+08 5.81633e+08 4.40391e+08
596.bmp 7.0221e+08 5.93497e+08 5.3848e+08
597.bmp 5.4319e+08 5.29897e+08 3.94771e+08
598.bmp 7.77614e+08 6.07723e+08 5.95508e+08
599.bmp 6.24378e+08 5.73721e+08 4.73761e+08
600.bmp 9.04666e+08 7.05223e+08 6.36775e+08
601.bmp 7.53381e+08 5.56395e+08 5.80884e+08
602.bmp 8.4674e+08 6.72988e+08 6.18603e+08
603.bmp 8.09694e+08 3.76668e+08 5.98988e+08
604.bmp 1.18541e+09 2.1453e+07 9.32251e+08
605.bmp 8.12067e+08 6.49982e+08 6.18057e+08
606.bmp 7.81981e+08 6.32304e+08 6.0877e+08
607.bmp 8.78028e+08 5.59958e+08 5.65438e+08
608.bmp 8.0513e+08 3.31952e+08 5.78946e+08
609.bmp 6.60562e+08 6.14039e+08 5.08726e+08
610.bmp 8.58778e+08 6.6368e+08 5.6087e+08
611.bmp 1.203e+08 1.1093e+09 0
612.bmp 7.58921e+08 4.24952e+08 5.5164e+08
613.bmp 7.85556e+08 6.5021e+08 6.15884e+08
614.bmp 7.66646e+08 5.52949e+08 5.546e+08
615.bmp 7.71023e+08 5.18292e+08 5.8175e+08
616.bmp 8.0143e+08 6.63644e+08 6.28755e+08
617.bmp 7.87167e+08 5.56436e+08 5.14756e+08
618.bmp 7.74903e+08 5.37858e+08 5.83349e+08
619.bmp 7.38596e+08 4.70573e+08 5.14863e+08
620.bmp 8.68976e+08 3.57327e+08 6.52188e+08
621.bmp 8.54863e+08 6.95026e+08 6.1697e+08
622.bmp 7.74135e+08 6.38332e+08 6.02261e+08
623.bmp 7.67565e+08 6.30065e+08 5.8772e+08
624.bmp 7.88934e+08 5.7932e+08 6.02864e+08
625.bmp 6.60457e+08 6.0274e+08 5.08118e+08
626.bmp 8.01507e+08 6.51053e+08 6.25962e+08
627.bmp 8.41882e+08 5.13813e+08 6.03237e+08
628.bmp 9.30411e+08 4.29802e+08 6.10697e+08
629.bmp 8.46507e+08 7.19599e+08 6.7848e+08
630.bmp 7.79632e+08 4.57396e+08 5.54343e+08
631.bmp 7.82957e+08 6.03619e+08 5.94062e+08
632.bmp 7.87019e+08 6.35517e+08 6.09037e+08
633.bmp 8.73137e+08 7.3401e+08 6.98869e+08
634.bmp 8.49214e+08 3.99794e+08 6.40775e+08
635.bmp 7.78392e+08 6.39223e+08 6.07219e+08
636.bmp 1.08485e+09 9.37513e+08 9.02902e+08
637.bmp 7.86401e+08 4.81544e+08 6.01336e+08
638.bmp 8.02579e+08 5.84964e+08 5.7528e+08
639.bmp 1.14438e+09 7.24476e+08 6.40424e+08
640.bmp 7.81375e+08 6.37455e+08 6.12074e+08
641.bmp 8.063e+08 5.55381e+08 5.98524e+08
642.bmp 7.9532e+08 6.59513e+08 6.26463e+08
643.bmp 9.59983e+08 7.9435e+08 7.40195e+08
644.bmp 7.95764e+08 3.99526e+08 5.50758e+08
645.bmp 7.59403e+08 5.44249e+08 5.76972e+08
646.bmp 7.85586e+08 6.29772e+08 6.07543e+08
647.bmp 8.58908e+08 5.54078e+08 5.10712e+08
648.bmp 7.72728e+08 6.02844e+08 5.77605e+08
649.bmp 1.30782e+09 0 1.1093e+09
650.bmp 7.70897e+08 6.14688e+08 5.87572e+08
651.bmp 7.92631e+08 6.49747e+08 6.22694e+08
652.bmp 7.81938e+08 5.77061e+08 5.65122e+08
653.bmp 8.45723e+08 6.32939e+08 6.17586e+08
654.bmp 9.04339e+08 2.5164e+08 6.16644e+08
655.bmp 8.66057e+08 1.89936e+08 6.87911e+08
656.bmp 7.73017e+08 5.91169e+08 5.90164e+08
657.bmp 7.7619e+08 6.2748e+08 5.9967e+08
658.bmp 7.84566e+08 6.34723e+08 6.09893e+08
659.bmp 7.67476e+08 6.12499e+08 5.62681e+08
660.bmp 7.84445e+08 6.48744e+08 6.15642e+08
661.bmp 7.93877e+08 5.82361e+08 5.55007e+08
662.bmp 8.38701e+08 6.91907e+08 6.63249e+08
663.bmp 7.85418e+08 6.44804e+08 6.1809e+08
664.bmp 7.84446e+08 6.42255e+08 6.14314e+08
665.bmp 8.11549e+08 6.42781e+08 5.76525e+08
666.bmp 7.47011e+08 5.5153e+08 5.58215e+08
667.bmp 8.05943e+08 5.48293e+08 5.45065e+08
668.bmp 7.21226e+08 5.91672e+08 5.64034e+08
669.bmp 1.24939e+09 7.20798e+06 1.02854e+09
670.bmp 7.98915e+08 6.62287e+08 6.10263e+08
671.bmp 7.70211e+08 6.07982e+08 5.65377e+08
672.bmp 7.80267e+08 6.48673e+08 6.11796e+08
673.bmp 8.20669e+08 6.59883e+08 5.25152e+08
674.bmp 7.78697e+08 4.70437e+08 5.35562e+08
675.bmp 6.16973e+08 5.83313e+08 5.02102e+08
676.bmp 7.61348e+08 6.1807e+08 5.8419e+08
677.bmp 7.84503e+08 6.31256e+08 5.97702e+08
678.bmp 8.04061e+08 6.35085e+08 6.08691e+08
679.bmp 7.83113e+08 6.02206e+08 5.83227e+08
680.bmp 8.57794e+08 4.42196e+08 5.14622e+08
681.bmp 7.69924e+08 5.5366e+08 5.56922e+08
682.bmp 8.51845e+08 4.91496e+08 6.6387e+08
683.bmp 7.48713e+08 5.79402e+08 5.57878e+08
684.bmp 7.68579e+08 6.19272e+08 5.91642e+08
685.bmp 7.66485e+08 5.06487e+08 5.59298e+08
686.bmp 8.68759e+08 6.81952e+08 5.85164e+08
687.bmp 7.54055e+08 5.49604e+08 5.22e+08
688.bmp 8.05255e+08 6.71062e+08 6.36024e+08
689.bmp 7.76912e+08 5.36084e+08 5.39011e+08
690.bmp 8.1359e+08 6.49225e+08 6.22979e+08
691.bmp 7.92156e+08 6.49025e+08 6.1331e+08
692.bmp 7.92877e+08 6.17841e+08 5.21711e+08
693.bmp 9.56087e+08 6.79917e+08 5.30149e+08
694.bmp 8.22737e+08 6.73585e+08 6.45781e+08
695.bmp 8.22234e+08 6.44838e+08 5.9608e+08
696.bmp 7.26323e+08 5.67641e+08 5.40593e+08
697.bmp 7.76776e+08 5.69627e+08 5.46458e+08
698.bmp 8.14732e+08 3.62758e+08 5.94925e+08
699.bmp 7.64483e+08 5.70863e+08 5.57447e+08
700.bmp 6.95229e+08 5.54992e+08 5.27142e+08
701.bmp 4.79601e+08 6.17335e+08 3.79919e+08
702.bmp 3.82553e+08 6.20482e+08 2.95173e+08
703.bmp 5.45924e+08 5.79573e+08 4.19056e+08
704.bmp 6.6157e+08 5.2636e+08 4.86369e+08
705.bmp 3.24649e+08 6.66054e+08 2.50692e+08
706.bmp 5.87259e+08 5.71277e+08 4.31488e+08
707.bmp 5.80501e+08 5.78951e+08 4.34829e+08
708.bmp 6.07796e+08 5.76101e+08 4.74511e+08
709.bmp 6.4711e+08 5.66192e+08 4.8278e+08
710.bmp 4.57931e+08 6.36564e+08 3.64219e+08
711.bmp 6.31208e+08 5.80301e+08 4.78119e+08
712.bmp 3.5598e+08 6.61032e+08 2.79892e+08
713.bmp 6.26497e+08 5.90168e+08 4.74494e+08
714.bmp 6.19218e+08 6.42016e+08 5.11088e+08
715.bmp 7.18183e+08 6.08391e+08 5.45039e+08
716.bmp 4.06042e+08 6.51902e+08 3.22235e+08
717.bmp 6.1198e+08 5.73625e+08 4.60882e+08
718.bmp 6.73431e+08 5.4314e+08 4.9728e+08
719.bmp 6.38998e+08 6.04207e+08 4.89181e+08
720.bmp 5.90372e+08 5.70805e+08 4.56303e+08
721.bmp 6.8035e+08 6.21893e+08 5.26565e+08
722.bmp 7.00174e+08 6.14727e+08 5.41266e+08
723.bmp 6.40697e+08 5.07436e+08 4.67966e+08
724.bmp 3.49975e+08 6.3235e+08 2.70326e+08
725.bmp 5.7198e+08 5.65084e+08 4.27461e+08
726.bmp 7.28439e+08 5.21242e+08 5.18051e+08
727.bmp 4.321e+08 6.40649e+08 3.29873e+08
728.bmp 7.26061e+08 6.1483e+08 5.57482e+08
729.bmp 7.14314e+08 6.17038e+08 5.53485e+08
730.bmp 5.66709e+08 5.88093e+08 4.36251e+08
731.bmp 4.20738e+08 6.35125e+08 3.1821e+08
732.bmp 6.19325e+08 6.14152e+08 4.77728e+08
733.bmp 6.93132e+08 5.16505e+08 4.99811e+08
734.bmp 5.94682e+08 6.93029e+08 5.08436e+08
735.bmp 6.56155e+08 6.06119e+08 5.12515e+08
736.bmp 6.83562e+08 5.82466e+08 5.29065e+08
737.bmp 6.47401e+08 7.04055e+08 5.53276e+08
738.bmp 6.89646e+08 6.21391e+08 5.32786e+08
739.bmp 4.3762e+08 6.0191e+08 3.32459e+08
740.bmp 4.24763e+08 6.24096e+08 3.37352e+08
741.bmp 6.92738e+08 6.2189e+08 5.38219e+08
742.bmp 6.24583e+08 5.53516e+08 4.70717e+08
743.bmp 5.26568e+08 5.36359e+08 3.80632e+08
744.bmp 6.87908e+08 6.11047e+08 5.26881e+08
745.bmp 6.807e+08 5.55946e+08 5.08926e+08
746.bmp 7.11366e+08 5.36941e+08 5.22352e+08
747.bmp 4.24085e+08 6.13469e+08 3.2525e+08
748.bmp 7.06496e+08 5.84887e+08 5.32522e+08
749.bmp 5.81678e+08 5.4901e+08 4.30462e+08
750.bmp 5.64647e+08 5.42831e+08 4.16193e+08
751.bmp 6.67367e+08 5.98111e+08 5.14712e+08
752.bmp 3.62049e+08 6.47064e+08 2.85621e+08
753.bmp 2.45397e+08 7.63471e+08 2.22829e+08
754.bmp 4.18222e+08 6.25387e+08 3.21723e+08
755.bmp 1.89539e+08 7.59219e+08 1.7307e+08
756.bmp 5.71946e+08 5.73579e+08 4.26033e+08
757.bmp 5.75639e+08 5.64502e+08 4.29916e+08
758.bmp 5.22488e+08 5.70892e+08 3.91149e+08
759.bmp 5.69449e+08 6.04744e+08 4.35728e+08
760.bmp 3.95285e+08 5.46398e+08 2.90002e+08
761.bmp 6.17742e+08 5.6114e+08 4.78809e+08
762.bmp 4.72843e+08 5.97492e+08 3.63739e+08
763.bmp 5.52128e+08 5.78414e+08 4.11123e+08
764.bmp 6.7564e+08 5.49776e+08 5.2079e+08
765.bmp 3.89887e+08 6.23602e+08 2.99079e+08
766.bmp 7.29553e+08 6.34576e+08 5.67989e+08
767.bmp 5.98454e+08 5.84156e+08 4.47324e+08
768.bmp 7.25719e+08 6.11656e+08 5.62782e+08
769.bmp 6.8156e+08 6.07916e+08 5.18147e+08
770.bmp 6.78664e+08 5.56869e+08 5.0918e+08
771.bmp 5.84677e+08 5.48164e+08 4.41828e+08
772.bmp 5.61783e+08 5.50887e+08 4.11126e+08
773.bmp 5.67463e+08 5.88534e+08 4.36206e+08
774.bmp 3.60557e+08 6.24996e+08 2.72337e+08
775.bmp 6.83357e+08 5.94515e+08 5.1012e+08
776.bmp 6.93251e+08 6.13021e+08 5.35637e+08
777.bmp 3.27334e+08 7.06102e+08 2.59419e+08
778.bmp 3.24421e+08 6.21229e+08 2.45304e+08
779.bmp 7.11951e+08 5.53021e+08 5.15581e+08
780.bmp 6.98752e+08 5.90679e+08 5.3354e+08
781.bmp 6.28603e+08 5.7915e+08 4.61991e+08
782.bmp 5.89294e+08 5.72716e+08 4.54062e+08
783.bmp 6.67058e+08 5.92257e+08 5.10122e+08
784.bmp 2.75476e+08 6.68808e+08 2.08568e+08
785.bmp 6.64581e+08 5.84688e+08 5.17257e+08
786.bmp 6.89226e+08 6.27781e+08 5.52354e+08
787.bmp 4.50311e+08 6.10138e+08 3.60739e+08
788.bmp 7.11009e+08 6.57864e+08 5.58914e+08
789.bmp 5.61106e+08 6.02086e+08 4.09483e+08
790.bmp 6.11474e+08 6.26085e+08 4.95765e+08
791.bmp 4.86735e+08 5.96405e+08 3.92875e+08
792.bmp 5.01772e+08 5.78153e+08 3.7354e+08
793.bmp 5.53955e+08 6.00973e+08 4.2708e+08
794.bmp 4.79647e+08 5.79611e+08 3.62348e+08
795.bmp 4.92277e+08 5.61447e+08 3.62525e+08
796.bmp 6.96578e+08 6.25928e+08 5.36401e+08
797.bmp 2.08877e+08 7.48453e+08 1.87194e+08
798.bmp 6.42657e+08 5.81602e+08 4.82872e+08
799.bmp 5.95655e+08 5.90703e+08 4.49494e+08
800.bmp 6.98907e+08 5.37249e+08 5.12323e+08
801.bmp 7.09873e+08 5.78399e+08 5.27261e+08
802.bmp 7.0118e+08 6.0301e+08 5.37128e+08
803.bmp 7.10691e+08 6.20891e+08 5.51984e+08
804.bmp 6.98578e+08 5.68099e+08 5.17199e+08
805.bmp 6.83833e+08 6.00808e+08 5.21556e+08
806.bmp 7.21978e+08 6.41336e+08 5.60122e+08
807.bmp 6.9282e+08 5.99e+08 5.29458e+08
808.bmp 7.12011e+08 5.85148e+08 5.40222e+08
809.bmp 7.50908e+08 6.21294e+08 5.79493e+08
810.bmp 6.98863e+08 6.34392e+08 5.45459e+08
811.bmp 6.90938e+08 5.80522e+08 5.10481e+08
812.bmp 6.99944e+08 6.16369e+08 5.37333e+08
813.bmp 6.8897e+08 6.16984e+08 5.32763e+08
814.bmp 6.97182e+08 6.25882e+08 5.40683e+08
815.bmp 7.09995e+08 5.94363e+08 5.39985e+08
816.bmp 6.98094e+08 5.67654e+08 5.25341e+08
817.bmp 7.04826e+08 5.90286e+08 5.33271e+08
818.bmp 7.16976e+08 6.28321e+08 5.55377e+08
819.bmp 7.15295e+08 6.20092e+08 5.43157e+08
820.bmp 6.92875e+08 6.15166e+08 5.3335e+08
821.bmp 7.2349e+08 5.70998e+08 5.44953e+08
822.bmp 6.95571e+08 5.97181e+08 5.28636e+08
823.bmp 7.07745e+08 5.32234e+08 5.07274e+08
824.bmp 6.96935e+08 6.1522e+08 5.35021e+08
825.bmp 7.1273e+08 6.04178e+08 5.37357e+08
826.bmp 7.25764e+08 6.29657e+08 5.64605e+08
827.bmp 7.17986e+08 6.15281e+08 5.52021e+08
828.bmp 6.79175e+08 5.48238e+08 5.08843e+08
829.bmp 6.89254e+08 5.75865e+08 5.19314e+08
830.bmp 7.24153e+08 5.6935e+08 5.41023e+08
831.bmp 6.92295e+08 5.32177e+08 5.0477e+08
832.bmp 7.24518e+08 5.58803e+08 5.57241e+08
833.bmp 7.03206e+08 6.02005e+08 5.32181e+08
834.bmp 6.75214e+08 5.75415e+08 5.08349e+08
835.bmp 7.00166e+08 5.80467e+08 5.32899e+08
836.bmp 6.90708e+08 5.97762e+08 5.29637e+08
837.bmp 7.17492e+08 5.79325e+08 5.37603e+08
838.bmp 7.25577e+08 5.55252e+08 5.42926e+08
839.bmp 6.92967e+08 6.14545e+08 5.36494e+08
840.bmp 6.82468e+08 5.98002e+08 5.17429e+08
841.bmp 6.99371e+08 6.04438e+08 5.37395e+08
842.bmp 7.0427e+08 5.39334e+08 5.10886e+08
843.bmp 6.84693e+08 4.61686e+08 4.89012e+08
844.bmp 7.08307e+08 6.09141e+08 5.43202e+08
845.bmp 6.96901e+08 6.14172e+08 5.33064e+08
846.bmp 6.63206e+08 5.46319e+08 4.97225e+08
847.bmp 7.07201e+08 6.04996e+08 5.37394e+08
848.bmp 7.03633e+08 5.50532e+08 5.26758e+08
849.bmp 6.88781e+08 6.06526e+08 5.25723e+08
850.bmp 6.90167e+08 6.09738e+08 5.33585e+08
851.bmp 7.06196e+08 6.17558e+08 5.42668e+08
852.bmp 6.90571e+08 5.28469e+08 5.11292e+08
853.bmp 6.98103e+08 6.16685e+08 5.30211e+08
854.bmp 7.12194e+08 6.40263e+08 5.56494e+08
855.bmp 7.0486e+08 6.17821e+08 5.27687e+08
856.bmp 6.87287e+08 5.84416e+08 5.13296e+08
857.bmp 7.22189e+08 6.38442e+08 5.64445e+08
858.bmp 6.77323e+08 5.63698e+08 5.13275e+08
859.bmp 7.19589e+08 4.72948e+08 5.15156e+08
860.bmp 7.05914e+08 5.96227e+08 5.3162e+08
861.bmp 6.95294e+08 6.08056e+08 5.27933e+08
862.bmp 6.98828e+08 5.83874e+08 5.24504e+08
863.bmp 7.19472e+08 6.08214e+08 5.46382e+08
864.bmp 6.94497e+08 5.746e+08 5.13484e+08
865.bmp 6.99422e+08 6.04482e+08 5.32862e+08
866.bmp 6.90568e+08 6.08313e+08 5.2588e+08
867.bmp 7.18674e+08 5.95364e+08 5.52612e+08
868.bmp 7.1557e+08 6.1274e+08 5.46325e+08
869.bmp 6.89726e+08 5.85022e+08 5.03986e+08
870.bmp 6.8278e+08 5.76085e+08 5.1412e+08
871.bmp 6.89506e+08 5.75382e+08 5.18696e+08
872.bmp 7.00622e+08 6.01855e+08 5.37038e+08
873.bmp 7.1152e+08 5.99141e+08 5.45205e+08
874.bmp 7.1686e+08 5.57109e+08 5.35443e+08
875.bmp 7.27003e+08 6.3642e+08 5.6957e+08
876.bmp 6.85356e+08 5.46451e+08 5.02052e+08
877.bmp 7.21426e+08 6.23495e+08 5.60953e+08
878.bmp 7.15399e+08 6.28157e+08 5.55516e+08
879.bmp 6.89032e+08 5.61197e+08 5.11661e+08
880.bmp 7.11667e+08 5.05962e+08 5.21284e+08
881.bmp 6.93593e+08 6.04573e+08 5.30504e+08
882.bmp 6.87039e+08 5.19589e+08 5.0563e+08
883.bmp 7.23375e+08 6.20549e+08 5.5552e+08
884.bmp 7.08279e+08 5.85432e+08 5.43923e+08
885.bmp 7.05388e+08 5.63042e+08 5.2316e+08
886.bmp 6.98442e+08 6.12017e+08 5.26962e+08
887.bmp 7.17008e+08 6.15949e+08 5.43789e+08
888.bmp 6.89429e+08 5.33599e+08 5.08022e+08
889.bmp 7.03985e+08 6.30252e+08 5.46665e+08
890.bmp 7.08291e+08 6.05818e+08 5.43701e+08
891.bmp 6.92709e+08 5.27716e+08 5.07064e+08
892.bmp 6.95878e+08 6.25188e+08 5.40107e+08
893.bmp 7.17765e+08 5.71731e+08 5.31695e+08
894.bmp 6.83242e+08 4.98107e+08 4.96682e+08
895.bmp 7.08322e+08 5.41147e+08 5.17569e+08
896.bmp 7.07374e+08 6.08198e+08 5.40862e+08
897.bmp 6.9899e+08 6.11155e+08 5.32655e+08
898.bmp 6.9371e+08 5.84823e+08 5.24454e+08
899.bmp 5.343e+08 5.65093e+08 3.95639e+08
900.bmp 5.75963e+08 5.58699e+08 4.25151e+08
901.bmp 5.16471e+08 5.54438e+08 3.83464e+08
902.bmp 6.68774e+08 5.95838e+08 5.11172e+08
903.bmp 7.60136e+08 6.52737e+08 5.93064e+08
904.bmp 6.49533e+08 5.33521e+08 4.65927e+08
905.bmp 6.36312e+08 5.4022e+08 4.6444e+08
906.bmp 7.04232e+08 6.03279e+08 5.35742e+08
907.bmp 2.08218e+08 7.05694e+08 1.72042e+08
908.bmp 6.91761e+08 6.05989e+08 5.26906e+08
909.bmp 6.12963e+08 5.72188e+08 4.49118e+08
910.bmp 6.96346e+08 5.76289e+08 5.19854e+08
911.bmp 5.87718e+08 5.95613e+08 4.47504e+08
912.bmp 6.2503e+08 4.60149e+08 4.60461e+08
913.bmp 4.1908e+08 5.65925e+08 3.15806e+08
914.bmp 5.82045e+08 5.60912e+08 4.34702e+08
915.bmp 5.4797e+08 5.56328e+08 4.01454e+08
916.bmp 5.94092e+08 5.64184e+08 4.40518e+08
917.bmp 6.97376e+08 5.68405e+08 5.20301e+08
918.bmp 5.61111e+08 5.59608e+08 4.18388e+08
919.bmp 7.05095e+08 5.95014e+08 5.39553e+08
920.bmp 5.55975e+08 5.29892e+08 4.09376e+08
921.bmp 6.24312e+08 5.70953e+08 4.65494e+08
922.bmp 6.83388e+08 5.50413e+08 5.07172e+08
923.bmp 7.18082e+08 5.76721e+08 5.34421e+08
924.bmp 6.67771e+08 5.643e+08 5.00164e+08
925.bmp 5.98284e+08 5.5022e+08 4.42836e+08
926.bmp 6.59945e+08 5.70326e+08 5.00271e+08
927.bmp 5.78573e+08 5.63981e+08 4.34046e+08
928.bmp 6.33134e+08 5.66011e+08 4.71968e+08
929.bmp 6.72763e+08 5.77019e+08 5.06061e+08
930.bmp 6.6432e+08 5.39001e+08 4.94068e+08
